op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,102.264,79.3339614868164,118.007,139.37509155273438,220.27100000000002,218.70905303955078
batchnorm,30.398,16.00364112854004,513.242,547.45654296875,543.64,563.46018409729
relu,11.487,6.519815921783447,237.326,261.9364929199219,248.813,268.4563088417053
max_pool2d,29.438,20.180566787719727,317.608,351.62217712402344,347.046,371.80274391174316
batchnorm,18.559,25.231225967407227,559.446,588.5527954101562,578.005,613.7840213775635
relu,5.664,5.707239627838135,255.629,255.73748016357422,261.293,261.44471979141235
conv2d,40.605,41.11191940307617,329.095,179.2867228190104,369.70000000000005,220.39864222208658
batchnorm,26.654,26.997212092081707,549.432,570.4864705403646,576.086,597.4836826324463
relu,7.807,8.398803075154623,257.261,249.59194946289062,265.06800000000004,257.99075253804523
conv2d,89.401,88.37290954589844,95.033,84.35778999328613,184.434,172.73069953918457
cat,13.855,15.687265396118164,163.508,170.46926879882812,177.363,186.1565341949463
batchnorm,24.286,26.35448694229126,551.255,584.982177734375,575.5409999999999,611.3366646766663
relu,6.911,6.5247368812561035,245.678,247.8998031616211,252.589,254.4245400428772
conv2d,49.788,45.0711669921875,167.284,170.7599639892578,217.072,215.8311309814453
batchnorm,26.493,28.049936771392822,543.064,570.6038513183594,569.557,598.6537880897522
relu,7.68,8.179529428482056,238.446,249.08894729614258,246.126,257.26847672462463
conv2d,88.921,94.3972053527832,96.345,101.96925735473633,185.26600000000002,196.36646270751953
cat,17.407,19.408586502075195,160.564,165.91049194335938,177.971,185.31907844543457
batchnorm,26.749,25.242151260375977,552.536,589.5777893066406,579.285,614.8199405670166
relu,7.647,8.052919626235962,245.134,253.33396530151367,252.78099999999998,261.38688492774963
conv2d,58.267,61.95542812347412,165.012,153.40119552612305,223.279,215.35662364959717
batchnorm,26.751,25.581384658813477,548.438,566.5951232910156,575.189,592.1765079498291
relu,7.968,8.163820385932922,235.662,252.34090042114258,243.63,260.5047208070755
conv2d,89.274,81.1547966003418,99.576,99.37999725341797,188.85,180.53479385375977
cat,20.383,20.869349002838135,159.316,172.4268341064453,179.699,193.29618310928345
batchnorm,27.581,28.687052249908447,700.492,583.2426452636719,728.073,611.9296975135803
relu,8.832,7.661325812339783,243.95,247.25950241088867,252.78199999999998,254.92082822322845
conv2d,66.426,66.56759738922119,156.277,149.90907669067383,222.70299999999997,216.47667407989502
batchnorm,27.005,23.456315994262695,537.433,578.6115570068359,564.438,602.0678730010986
relu,7.839,7.538591742515564,234.831,250.92999649047852,242.67,258.4685882329941
conv2d,89.177,104.13324165344238,99.641,111.59422492980957,188.818,215.72746658325195
cat,23.646,19.192468643188477,158.996,165.50036239624023,182.642,184.6928310394287
